Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview,cleaned_benefits,cleaned_sideEffects,cleaned_comments,combined_features,effectiveness_score
824,zegerid,5,Moderately Effective,Mild Side Effects,gerd,Reduced symptoms of acid reflux,0.0,0.0,reduced symptoms acid reflux,diarrhea,insurance company longer covered protonix substituted omeprazole effective reducing episodes acid reflux protonix dose doubled approach level efficacy,gerd Moderately Effective,2.0
890,paxil,10,Highly Effective,Mild Side Effects,depression,I believe that I suffered from depression my whole life.  I feel like the first years of my life would have been very different if I had some treatment for my feelings.  My whole family would agree that I am much much happier and have a feeling of peace in my life.,0.0,0.0,believe suffered depression whole life feel like first years life would different treatment feelings whole family would agree much much happier feeling peace life,sure drug almost sexual feelings could age knows,sure mean treatment details saw psycotherapist several months prescribed paxil ok paroxetine share treatment anyone think depression best descriptive word troubeling thanks work,depression Highly Effective,3.0
3809,solodyn,7,Highly Effective,Severe Side Effects,acne,"Solodyn virtually eliminated any acne I had, both on my face and body.  It took about a month to see dramatic results, but some results were visible within a few days of starting the medication.",0.0,0.0,solodyn virtually eliminated acne face body took month see dramatic results results visible within days starting medication,experience side effects four weeks treatment time began breaking mild hives mild fact originally thought may caused lotion cosmetic gotten skin maybe something eaten hives would come go throughout day appearing sparsely face neck hands days passed realized must caused drug stopped taking hives went away day want stress hives mild allergic reactions drugs past may made susceptible time every previous experience drug related hives much much worse possibly life threatening treated perhaps would case well continued taking drug seem particularly alarming mildly annoying,took one pill every morning time day,acne Highly Effective,3.0
414,imitrex,2,Moderately Effective,Severe Side Effects,migraines,"I initially switched over from Axert since my insurance covers more of the Imitrex prescription.  Imitrex just isn't right for me.  I experienced almost all of the side effects such as flushing, sensations of tingling/prickling, weakness, drowsiness, dizziness, and fast/pounding heartbeat.  On top of that the packaging is just HORRIBLE!  It comes 9 to a package.  The packaging is a tri-fold ""booklet"" that is very rigid and has individual blisters for each tablet.  It's about 6 1/2 by 3 1/2 inches, folded.  I  like to have migraine meds on me at all times so I ended up cutting the tablets out of the booklet so they would fit in my wallet or purse.  Definitely going back to Axert!",0.0,0.0,initially switched axert since insurance covers imitrex prescription imitrex right experienced almost side effects flushing sensations tingling prickling weakness drowsiness dizziness fast pounding heartbeat top packaging horrible comes 9 package packaging tri fold booklet rigid individual blisters tablet 6 1 2 3 1 2 inches folded like migraine meds times ended cutting tablets booklet would fit wallet purse definitely going back axert,flushing tingling prickling weakness drowsiness dizziness pounding heartbeat,take 1 tablet mouth max 2 tabs per 24 hours,migraines Moderately Effective,2.0
1592,xanax,8,Considerably Effective,Mild Side Effects,anxiety/depression,"I took alprazolam for 2 months for extreme anxiety/depression. It did work considerably in the beginning, however I would occasionally sleep the day away if taken in the morning. I would wake up from naps with a terrible disposition. It did work considerably for anxiety, initially, but it's very easy to self medicate and take considerably higher dosages then prescribed. In retrospect, I shouldn't have taken the medication because I was already on a medication to come off of opiates, because I have an addictive personality. I discussed this with my Dr. and he told me that alprazolam with suboxone worked well together. I later found out that the two drugs were dangerous to take together because of the potential of respiratory depression. Also, I've found out that benzodiazepines, especially alprazolam can be very addictive, which can have much worse withdrawal than any opiate. I think alprazolam can be a very useful medication if taken as prescribed and only taken on a prn basis. I don't believe there are any instances where alprazolam should be taken twice a day, unless you have signs of extreme anxiety all day, every day. If you have an addictive personality like myself, I think if you consider alprazolam at all, it should be used very judiciously. But exhaust other alternatives to alprazolam, like buspar, which has no addiction potential, however, I think it tends to be pretty much useless unless taken in high dosages. I suggest talking to two or more dr.s before initiating a regimen. I only say this because I know what alprazolam withdrawal entails, and there are VERY unpleasant side effects, which can be life-threatening. Also, alprazolam isn't effective for very long. It is really only good for extreme panic attacks and helps quickly, then it loses its effect within approx. 2 hours. I will also say gladly, that I have known people who have taken alprazolam for several years and only for extreme panic attacks, and none of them have developed a dependency on them. The bottom line is you know you're propensity to addiction. Use your own common sense and if prescribed, have the dr. start you on .25mg., the lowest dose, and you should see a great difference in your anxiety, especially if your body is not accustomed to benzodiazepines. Best of luck.",0.0,0.0,took alprazolam 2 months extreme anxiety depression work considerably beginning however would occasionally sleep day away taken morning would wake naps terrible disposition work considerably anxiety initially easy self medicate take considerably higher dosages prescribed retrospect taken medication already medication come opiates addictive personality discussed dr told alprazolam suboxone worked well together later found two drugs dangerous take together potential respiratory depression also found benzodiazepines especially alprazolam addictive much worse withdrawal opiate think alprazolam useful medication taken prescribed taken prn basis believe instances alprazolam taken twice day unless signs extreme anxiety day every day addictive personality like think consider alprazolam used judiciously exhaust alternatives alprazolam like buspar addiction potential however think tends pretty much useless unless taken high dosages suggest talking two dr initiating regimen say know alprazolam withdrawal entails unpleasant side effects life threatening also alprazolam effective long really good extreme panic attacks helps quickly loses effect within approx 2 hours also say gladly known people taken alprazolam several years extreme panic attacks none developed dependency bottom line know propensity addiction use common sense prescribed dr start 25mg lowest dose see great difference anxiety especially body accustomed benzodiazepines best luck,lethargy loss appetite,started 5mg second strength dosage 2 times daily became afraid taking calm coming opiates however already medication stop taking opiates actually supposed taken alprazolam concerns medicines cause respiratory depression,anxiety/depression Considerably Effective,
2237,allegra,7,Moderately Effective,Mild Side Effects,allergies,"Treatment benefits were the cessation of allergy symptoms such as itchy eyes, itchy ears, itchy throat, sneezing, nasal drip, congestion and borderline asthma; however, during high allergy season, the regular dosage was insufficient, the beneficial effects lasting only about 12 hours, instead of the intended 24.  Then it was required twice daily to relieve symptoms described above.",0.0,0.0,treatment benefits cessation allergy symptoms itchy eyes itchy ears itchy throat sneezing nasal drip congestion borderline asthma however high allergy season regular dosage insufficient beneficial effects lasting 12 hours instead intended 24 required twice daily relieve symptoms described,increasing dosage twice daily high allergy season resulted horrible side effects severe headache nervousness heart palpitations dizziness inability concentrate irritability loss appetite stop taking altogether four five days felt comfortable taking take one day regardless extent allergies,treatment details included first dosage first thing every morning around 6am moderate allergy season lasted following morning soon got 6 symptoms came full strength allegra take effect hour half started waking 5 take prepared work able without runny eyes nose etc heavy allergy season dogwood would take one 5am one 6pm within two weeks side effects back regular dosage,allergies Moderately Effective,2.0
2442,wellbutrin-sr,8,Considerably Effective,Mild Side Effects,adhd,"Motivates, keeps me focused and helps me stay calm and alert in the same time.  Not as noticeable as stimulants but more steady, no ups and downs, and it works round the clock reducing the rebound from when Concerta wears off after approx 10 hours. Stabilizing effect on the mood too.",0.0,0.0,motivates keeps focused helps stay calm alert time noticeable stimulants steady ups downs works round clock reducing rebound concerta wears approx 10 hours stabilizing effect mood,insomnia first week,wellbutrin three weeks already feel difference adhd symptoms concerta years needed drug working round clock,adhd Considerably Effective,
747,flonase,10,Highly Effective,No Side Effects,nasal allergies,"It cleared up my nasal allergies, my stuffy nose, post nasal drip and as an added benefit it also helped prevent getting hoarse.",0.0,0.0,cleared nasal allergies stuffy nose post nasal drip added benefit also helped prevent getting hoarse,side effects careful use needed use 1 month time,would use directed first weeks cut dose half maintenance take day half start working 3 days work fully,nasal allergies Highly Effective,3.0
476,remicade,10,Highly Effective,Mild Side Effects,crohn's with fistula in ano,Fistula is considerable reduced. Almost healed. Fluid developing in the fistula is also healed. Frequency of stool passing is also reduced to twice a day.,0.0,0.0,fistula considerable reduced almost healed fluid developing fistula also healed frequency stool passing also reduced twice day,major side effect itchy scalp bumps like pimples scalp turned dried patches scabs weight gain also swelling legs 1st dose,three doses given ns iv given remicade injection efcorlin hydrocortisone sodium succinate given every time ist dose given ten minutes waited reaction adverse effects noticed completed 6 hrs iind dose given 2nd week dose completed 3 hrs iiird dose given 6th week dose also completed 3 hrs,crohn's with fistula in ano Highly Effective,3.0
1960,lyrica,1,Ineffective,Severe Side Effects,neuropathic pain aand fibromyalgia,No Review,0.0,0.0,review,extreme swelling face hands feet well raised welts skin,patient weened 3600mg day neurontin lyrica dosage taken neurontin lessened lyrica increased side effects patient taken totally lyrica successfully placed back neurontin,neuropathic pain aand fibromyalgia Ineffective,0.0
456,phendimetrazine,10,Highly Effective,Severe Side Effects,weight loss,A total of 20 pounds lost in one month.,0.0,0.0,total 20 pounds lost one month,although reached goal weight drug made restless anxious moody also experienced headaches falling asleep easy drug dizziness light headed,take one 35mg pill morning one lunch curb appetite fond able stay active run longer gym toss results worth side effects obvious drug strong makes want run marathon eat good,weight loss Highly Effective,3.0
1709,retin-a-micro,10,Considerably Effective,Mild Side Effects,acne,"Skin became smoother, fewer breakouts",0.0,0.0,skin became smoother fewer breakouts,dry skin easily remedied moisturizer skin aggravated sunscreens concerns using clinique moisturizer assisted dryness experienced irritation sun protection put hat exposed sun thus far problems sun irritation,use retin every night needed breakout 4 weeks,acne Considerably Effective,
766,azopt,10,Highly Effective,No Side Effects,glaucoma,"Although this is not available in generic, I am using the generic versions of alphagan and betagan in conjunction with this drug. Each drug was used independently to determine side effects before they were combined for treatment. (This was a many visit process! But the results have made it was worth it) This combination lowered my intraoccular pressure to the point that it was not necessary to have surgery - my next step since other combinations did not work.",0.0,0.0,although available generic using generic versions alphagan betagan conjunction drug drug used independently determine side effects combined treatment many visit process results made worth combination lowered intraoccular pressure point necessary surgery next step since combinations work,occasional burning put already irritated eyes,conjunction mentioned drops consistently lowered pressure side effects,glaucoma Highly Effective,3.0
993,armour-thyroid,10,Highly Effective,No Side Effects,hypothryroid,"Not as tired, thicker hair, not gaining weight as easily",0.0,0.0,tired thicker hair gaining weight easily,experienced yet,daily,hypothryroid Highly Effective,3.0
3179,desyrel,9,Considerably Effective,Mild Side Effects,poor sleep quality,"Able to sleep throughout the night without waking up, not groggy in the morning.",0.0,0.0,able sleep throughout night without waking groggy morning,dry mouth morning waking dry eyes,take 50 mg night 1 2 hour 1 hour want go sleep stay asleep wake every hour like starting feel refreshed morning make mouth pretty dry especially first thing morning also dry eyes believe result taking trazodone makes difficult wear contacts dryness,poor sleep quality Considerably Effective,
793,ambien,9,Highly Effective,No Side Effects,insomnia,"I had two arthroscopic surgeries to my right knee with little relief or benefit from the surgery. I was prescribed Ambien 10mg at bedtime as needed to help me sleep. On the nights I didn't take the medicine, I woke up all through the night. With the medicine, I slept well and soundly.",0.0,0.0,two arthroscopic surgeries right knee little relief benefit surgery prescribed ambien 10mg bedtime needed help sleep nights take medicine woke night medicine slept well soundly,side effect recall minor sluggish feeling sleep minimum 7 hours one occassion,post surgery right knee considerable pain suffered insomnia ambien 10mg prescribed needed bedtime took nightly first 3 nights post surgery 4th night take woke night took ambien total 7 first 10 days following surgery helped sleep soundly pain interupt sleep ill effects still remaining 20 tablets prescribed one year ago,insomnia Highly Effective,3.0
2969,niaspan,10,Highly Effective,Mild Side Effects,hyperlipidemia,"My total serum cholesterol dropped from 280 to 198, LDL dropped from 225 to 122, HDL increased from 38 to 57. My triglycerides were already low due to a strict low-carb diet. My blood pressure was already low (104/70) due to verapamil therapy to prevent cluster headaches, and has remained low. I experienced no serum increases in liver enzymes, urea, or sugar.",0.0,0.0,total serum cholesterol dropped 280 198 ldl dropped 225 122 hdl increased 38 57 triglycerides already low due strict low carb diet blood pressure already low 104 70 due verapamil therapy prevent cluster headaches remained low experienced serum increases liver enzymes urea sugar,experience regular mild flushing along mild itching ears arms effects occur within hour dosage subside 20 30 minutes take aspirin nsaids avoid fatty foods medication recommended reduce flushing itching,observe strict atkins diet regular supplements good iron free multivitamin calcium citrate malate fish oil glucosamine chondroitin coenzyme q 10 liberal use morton lite salt provides good potassium supplementation also use psyllium husk fiber supplement consume 7g soluable fiber daily 3 doses significantly lowered ldl total cholesterol prior commencing niaspan er therapy exercising elliptical ski machine 30 mins twice per day burning 1000 calories lost 50 lbs last six months,hyperlipidemia Highly Effective,3.0
271,ditropan,4,Marginally Effective,Severe Side Effects,hyperhidrosis,The drug helped to decrease hyperhidrosis,0.0,0.0,drug helped decrease hyperhidrosis,significant side effects dry mouth sensation burning urinating dry throat dry eyes,drug intended hyperhisdrosis however prescribed side effects help hyperhidrosis whilst somewhat helpful side effects significant dry mouth throat dry eyes burning sensation urinating,hyperhidrosis Marginally Effective,1.0
11,nasonex,1,Considerably Effective,Extremely Severe Side Effects,swollen passages from allergies,drug helped alleviate stuffy feeling without much notice of any side effects.,0.0,0.0,drug helped alleviate stuffy feeling without much notice side effects,past year reoccurring pink eye blifuritis bouts around tine plagued repeated episodes itching strange rashes body hands full unsightly cracks sores redness episodes getting closer closer worse time,topical internal steroid meds antibiotics avert infection help next outbreak last bout week,swollen passages from allergies Considerably Effective,
1402,adipex-p,6,Moderately Effective,Moderate Side Effects,weight loss,I experienced a weight loss of approximately 3 kg in 1 month. The effects tapered off in the second month with the total weight loss to be estimated at 6 kg. Subsequently I felt less urge to snack,0.0,0.0,experienced weight loss approximately 3 kg 1 month effects tapered second month total weight loss estimated 6 kg subsequently felt less urge snack,experienced mood swings short temper thirst constantly thirsty mild tension headaches often flare good reason outbursts went away swiftly also observed quite bloated food,took medication 3 months 3 times week prevent addiction treatment optional mediaxal another weight loss drug opted noticed obvious decrease appetite first 3 weeks gradual return appetite went back review every 2 weeks blood pressure weight recorded medicine supplemented low calorie diet exercise,weight loss Moderately Effective,2.0
1950,lyrica,1,Marginally Effective,Severe Side Effects,fibromyalgia,There was a minimum amount of pain reduction.  I believe the medication works neurologically and you do not realize you still have pain.  The side effects were so severe I was afraid to drive the car.  My memory and thought process was deeply distrubed and I still felt pain. My thought process changed so quickly during a mid sentence I sounded as if I was on drugs.  The side effects were just not worth tolerating for the small benefit.  I could not help but think with the way this is making me feel mentally what is the effect it is really having on me.  This medication was meant for Diabetics that suffer nerve pain.  I feel sorry for someone who would need to remain on this medication if it was helping reduce the pain.  As all medications it is not going to correct the underlying problem just address the symptoms associated with the problem.  I would not recommend anyone take it.,0.0,0.0,minimum amount pain reduction believe medication works neurologically realize still pain side effects severe afraid drive car memory thought process deeply distrubed still felt pain thought process changed quickly mid sentence sounded drugs side effects worth tolerating small benefit could help think way making feel mentally effect really medication meant diabetics suffer nerve pain feel sorry someone would need remain medication helping reduce pain medications going correct underlying problem address symptoms associated problem would recommend anyone take,irrational thinking disrupted thought process slow reactions operating vehicle,prescribe newest drug fibromyalgia know drug worked wanted try see reduced muscle pain took drug side effects severe lesson time,fibromyalgia Marginally Effective,1.0
3276,zoloft,1,Ineffective,Extremely Severe Side Effects,depression,Patient experienced no treatment benefits.,0.0,0.0,patient experienced treatment benefits,major side effect persistent thoughts suicide always hanging thoughts developed three weeks treatment became persistent time went patient stopped taking medication two months subsequently informing attending physician initially believe medication could provoke side effect someone 50 years age,treatment details described,depression Ineffective,0.0
2337,propecia,8,Considerably Effective,Mild Side Effects,hair loss,"Increased hair growth in the thinning areas on the head, making the hair look fuller. I also experienced less hair falling out.",0.0,0.0,increased hair growth thinning areas head making hair look fuller also experienced less hair falling,increased hair growth shoulders back chest decrease sex drive,1 mg pill taken daily hair loss crown head later changed doctors instead prescribing propecia gave proscar 5mg able take one fourth tablet save 60 00 month,hair loss Considerably Effective,
3854,azelex,2,Ineffective,Severe Side Effects,acne,I was not able to use the cream long enough because of the side effects.,0.0,0.0,able use cream long enough side effects,cream itched burned severely point nearly intolerable first week burning subsided second week point usable daily basis,application cream nightly 15 minutes washing product information advised waiting still burned itched applying waiting real visible effect time used gave 2 instead 1 felt subjective glimmer potential improvement end period enough overcome pain,acne Ineffective,0.0
2090,selegiline,10,Highly Effective,No Side Effects,increase dopmaine levels,increased synaptic dopamine levels. This gave me an amazing sense of wellbeing and clarity.,0.0,0.0,increased synaptic dopamine levels gave amazing sense wellbeing clarity,positive side effects see,healthy 36 year old medical conditions use selegiline l deprenyl purely optimise health fortunately use loop hole import drug country restriction importation personal use,increase dopmaine levels Highly Effective,3.0
676,zantac,5,Marginally Effective,No Side Effects,ulcer,the benifits of the treatment were that it stopped the pain. i could sleep at night. i could eat food that i could not eat before. because i was not in consent pain i could get on with my life,0.0,0.0,benifits treatment stopped pain could sleep night could eat food could eat consent pain could get life,treatment side affects except take two tablets twice day rest life cure found ther austrailan docter found cases ulcers bacteria simple test would find case short couse antibotics anti acid period time whislt talikg course antibotics would get rid problem case dont take drugs every day,tablet twice day,ulcer Marginally Effective,1.0
1698,retin-a-micro,9,Considerably Effective,No Side Effects,acne,"This cream was very beneficial for the treatment of acne and some blemishes.  I had many pimples around my mouth after getting waxied there and nothing was helping.  Further as soon as one pimple went away another formed.  This cream began to work within several days.  I could tell that the pimples were getting lighter and new pimples that were forming would hardly enlarge because I applied the cream as soon as I saw a new one forming, many of them disappeared without even leaving a blemish affterwards.",0.0,0.0,cream beneficial treatment acne blemishes many pimples around mouth getting waxied nothing helping soon one pimple went away another formed cream began work within several days could tell pimples getting lighter new pimples forming would hardly enlarge applied cream soon saw new one forming many disappeared without even leaving blemish affterwards,side effects applying cream correctly bedtime washed morning however heard person whp took cream aware instruction instead applied morning face exposed day cream worked somewhat spots applied stayed irritated would turn red wind blew face condition remained several years afterwards cream cannot exposed sun otherwise works beautifully,treatment simple night night cleaned face mild cleanser atleast water apply medication hand afterwards simply dabbed small thin layer cream pimple allowed cream dry went sleep morning made sure wash cream going outside sensitive skin area may turn red temporary simply means instead applying day one must use every day,acne Considerably Effective,
659,seasonique,2,Considerably Effective,Severe Side Effects,birth control,I assume this birth control prevented pregnancy effectively. My boyfriend and I used it as a back up.,0.0,0.0,assume birth control prevented pregnancy effectively boyfriend used back,seasonique three months absolutely miserable starters 19 never break outs soon started pill began breaking every days pill made gain ten pounds spotting month half horrible cramps everyday extremely moody emotional cry absolutely nothing snap smallest things get crazy hot flashes freezing one minute sweating next back also hurts times,switched pills,birth control Considerably Effective,
3970,norvasc,9,Considerably Effective,No Side Effects,high blood pressure,Small pill easy to take.  Easy to pack in a travel pack in an alternate pill case without taking the entire bottle.,0.0,0.0,small pill easy take easy pack travel pack alternate pill case without taking entire bottle,experience side effects aware course concered high blood pressure directly related work related stress,apparently long term treatment doctor several conversations high blood pressure though increased exercise routines positive impact blood pressure 1 month norvasc blood pressure within normal range,high blood pressure Considerably Effective,
2822,wellbutrin,10,Highly Effective,Mild Side Effects,depression; intrusive suicidal impulses,"Within a couple of weeks, intrusive thoughts of suicide abated.  Over the next few weeks mood lifted some.  At the time I started I was desperate & hopeless was quite surprised it helped as much as it did without usual side ffects of anti depressants-sexual sidew effects & weight gain.  Didn't cure depression but definitely helped severe suicidality.  And I'm against anti-depressants as 1st run for treating mood disorders but there is a place for them when exercise, sprirtual practice, good nutrition & life balance not enough-but these life practices absolutely indispensible for any health issue esp. Mood disorders.",0.0,0.0,within couple weeks intrusive thoughts suicide abated next weeks mood lifted time started desperate hopeless quite surprised helped much without usual side ffects anti depressants sexual sidew effects weight gain cure depression definitely helped severe suicidality anti depressants 1st run treating mood disorders place exercise sprirtual practice good nutrition life balance enough life practices absolutely indispensible health issue esp mood disorders,light stimulant effect great extreme fatige depression activating chemical also increase hostile angry feelings tweek dose get reactive others,take 300 mg wellbutrin xr daily morning eat healthy whole foods exercise outdoors much possible prayer meditation yoga get rest restructure negative beliefs positive beliefs cognitive spiritual approaches,depression; intrusive suicidal impulses Highly Effective,3.0
2812,wellbutrin,10,Highly Effective,No Side Effects,depression,"Wellbutrin and Prozac stabilized my moods and kept me from slipping into depression. There really wasn't anything more to it, but I gather I have to write 50 words, so here they are.",0.0,0.0,wellbutrin prozac stabilized moods kept slipping depression really anything gather write 50 words,none,sure understand question pretty simple tendency slip deep depressions without medication drugs prevented without side effects,depression Highly Effective,3.0
2497,remeron,10,Highly Effective,No Side Effects,insomnia,"Remeron (mertazapine) was a god send for me. I had chronic insomnia with sleep deprivation for 12 years and tried to treat it with OTC drugs. It appeared one night, not slowly over time. I tried several meds without success before my doctor suggested Remeron. It took a few weeks to take effect but it has been 100% successful for about 17 years now. I used to take up to 45 mg. at bedtime but have ratcheted it down to 15 mg. over the years. If I miss one dose I know it. Falling asleep is no problem. My problem is staying asleep for more than 2 or 3 hours night after night after night. . . Not fun.",0.0,0.0,remeron mertazapine god send chronic insomnia sleep deprivation 12 years tried treat otc drugs appeared one night slowly time tried several meds without success doctor suggested remeron took weeks take effect 100 successful 17 years used take 45 mg bedtime ratcheted 15 mg years miss one dose know falling asleep problem problem staying asleep 2 3 hours night night night fun,side effects hangover morning drowsiness,take 1 2 hour bedtime,insomnia Highly Effective,3.0
2877,avita,9,Considerably Effective,Mild Side Effects,acne,A considerable decline in the occurrence of new spots accompanied treatment. The acne has been practically eliminated if a good cleansing routine is maintained. Red marks have faded. Blackheads have cleared up. The overall result is clearer and smoother skin.,0.0,0.0,considerable decline occurrence new spots accompanied treatment acne practically eliminated good cleansing routine maintained red marks faded blackheads cleared overall result clearer smoother skin,occasional mild skin irritation particularly beginning treatment,applied small amount face daily afternoon applied sunscreen day compensated increase photosensitivity,acne Considerably Effective,
704,accutane,7,Moderately Effective,Moderate Side Effects,acne,Eventual Acne reduction.,0.0,0.0,eventual acne reduction,dry skin eyes flaking skin bloody noses however pertinent side effect depression,struggling acne throughout teens put accutane promises miracle drug acne eventually cleared severe drug induced flare ups acne common well feelings depression,acne Moderately Effective,2.0
3342,lipitor,10,Highly Effective,No Side Effects,incontinence,regulated bladder control to allow patient (me) to return to a regular life and not have to modify all movements by where the nearest bathroon is located.,0.0,0.0,regulated bladder control allow patient return regular life modify movements nearest bathroon located,none,single capsule taken morning,incontinence Highly Effective,3.0
3571,differin,10,Highly Effective,Mild Side Effects,acne,"my acne cleared up within a few months, and now it is gone.",0.0,0.0,acne cleared within months gone,cannot wax eyebrows thins skin wax,used gel night also took antibiotic yazmin believe continue use differin even stop antibiotic benifits,acne Highly Effective,3.0
592,sulindac,4,Marginally Effective,Moderate Side Effects,baker's cysts behind both knees,"After about a week, I started to see a small reduction in the size of the fluid-filled cysts behind my knees.  Over the 3-week treatment period, there was about a 25 percent reduction in the size of the cysts. There was also a mild reduction in the pain associated with the cysts. 

Another benefit was that I did not get upper GI pain & bleeding with this med, whereas NSAIDs had been causing black stools due to GI irritation & bleeding.",0.0,0.0,week started see small reduction size fluid filled cysts behind knees 3 week treatment period 25 percent reduction size cysts also mild reduction pain associated cysts another benefit get upper gi pain bleeding med whereas nsaids causing black stools due gi irritation bleeding,within 30 minutes taking dose sulindac experienced colicky pain ribs right side pain extreme noticeable unpleasant duration lasted 2 4 hours time side effect persisted throughout entire treatment period,due longstanding knee osteoarthritis prone fluid filled cysts backside knees cysts cause pain swelling reduced circulation lower leg cysts interfere walking gait well past used nsaids reduce inflammation cysts however due nsaid related side effects class drug put limits physician recommendation try drug pro nsaid class less irritating stomach retrospect think sulindac trade less stomach irritation exchanged liver irritation sulindac due side effect doctor reduced frequency medication per day response sulindac less robust hoped much less improvement experienced previously nsaids also took long time 3 weeks reach level improvement past would achieve 3 days otc nsaids,baker's cysts behind both knees Marginally Effective,1.0
3254,cleocin,1,Marginally Effective,Severe Side Effects,vaginal bacteria,"for vaginal bacteria with foul smell, I dont know if the treatment is effective it is only 2 days but then I started yo have to side effects",0.0,0.0,vaginal bacteria foul smell dont know treatment effective 2 days started yo side effects,rashes swelling face eyes got also dryness skin,300 mg 2x day 7 days took 2 days 9 1 11 9 2 11,vaginal bacteria Marginally Effective,1.0
2483,enbrel,10,Highly Effective,No Side Effects,ankylosing spondylitis,"decreased inflammation of cervical spinal column, increased motion of cervical spinal column, decreased pain in other joints, decrease in neck pain, etc.",0.0,0.0,decreased inflammation cervical spinal column increased motion cervical spinal column decreased pain joints decrease neck pain etc,drug side effects least none detectable consider drug wonder drug without side effects,consider drug wonder drug without side effects drug side effects least none detectable,ankylosing spondylitis Highly Effective,3.0
1966,lyrica,6,Considerably Effective,Severe Side Effects,fibromylgia,"the benefits foe the pain was good, it helped the constant pain i was having in my muscles and the over all aching",0.0,0.0,benefits foe pain good helped constant pain muscles aching,sleepiness fatigu memory loss confusion depression trouble breathigng,good relief pain take 100mg bed time helps sleep well tired makes want lie couch sleep day makes arthritis worse tired draggy day desire thing even thing always interested prescribed one 50g daytimebut cannot tolerate sleep day light headed unable concentrate,fibromylgia Considerably Effective,
314,ativan,9,Highly Effective,No Side Effects,anxiety,It really help me to cope with the anxiety,0.0,0.0,really help cope anxiety,make tired,take one feeling good anxiety issue go doctor take one one hour prior apt,anxiety Highly Effective,3.0
119,valtrex,7,Highly Effective,Moderate Side Effects,herpes,With the valtrex I was treat coldsores only and could aviod break outs yr long. If i stopped I was garenteed to get one,0.0,0.0,valtrex treat coldsores could aviod break outs yr long stopped garenteed get one,taking empty stomach developed ulsers heart burn acid reflux,pill form day side affects take week needed,herpes Highly Effective,3.0
200,adderall,8,Highly Effective,Moderate Side Effects,"depression, ptsd fatigue","Definitely noticed right away that I had more energy, better concentration and motivation, and could actually focus for the first time in years. By taking this med, it caused a chain reaction that got my life moving forward again: I started by becoming able to get out of bed and get things done around the house. Had more motivation to help myself in other ways - better nutrition, better exercise, self care, etc. Then my body and mind began to kick in and heal itself more. Now the med simply acts as a support for me, but I am ready to start tapering down my dose!!!",0.0,0.0,definitely noticed right away energy better concentration motivation could actually focus first time years taking med caused chain reaction got life moving forward started becoming able get bed get things done around house motivation help ways better nutrition better exercise self care etc body mind began kick heal med simply acts support ready start tapering dose,trouble losing much weight first levels problems sleeping dose increased quickly make sure take full amount day least 12 noon trouble sleeping night sometimes get shaky nervous dry mouth feel dehydrated,take 2 pills hour wake morning take third pill 11 12 noon,"depression, ptsd fatigue Highly Effective",3.0
3416,aricept,1,Ineffective,Severe Side Effects,short term memory loss,"none, only took one pill and found that the side effects do not warrant continued use.",0.0,0.0,none took one pill found side effects warrant continued use,severe head pain feel like throwing felt lousy 12 hours taking first pill,take pill side effects loosing nights sleep severe head pain feeling like throwing result taking another pill drug agree patient,short term memory loss Ineffective,0.0
3559,differin,2,Ineffective,No Side Effects,acne,Benefits were intended to be no facial acne,0.0,0.0,benefits intended facial acne,side effects noticed,applied externally affected area every night bedtime afer washing,acne Ineffective,0.0
2106,renova,4,Marginally Effective,Moderate Side Effects,"acne, wrinkles","I experienced a some evening of skin tone, somewhat smaller pores and very slight improvement in crowes feet",0.0,0.0,experienced evening skin tone somewhat smaller pores slight improvement crowes feet,itchy skin burning sensation face rash scaling peeling,first 6 8 weeks skin became scaly itchy rashy 8 weeks skin began tolerate cream little better continued itch burn even one year use never used pea size per insturctions itching dryness rash never went away difficult wear type makeup didnt irritate skin using product made mistake using product eyes learned later cream intended use eyes due drying affect product make fine llines eyes appear worse see improvement acne cheek fact suffered worse acne using tretinoin,"acne, wrinkles Marginally Effective",1.0
1406,adipex-p,10,Highly Effective,Mild Side Effects,chronic fatigue syndrome,"Improved ability to focus and concentrate. Memory retention better. Improved energy. Mainly helped relieve brain fog that is common with Chronic Fatigue/Fibromyalgia. Especially noticeable while working. Able to function better and work longer, more like my old self.",0.0,0.0,improved ability focus concentrate memory retention better improved energy mainly helped relieve brain fog common chronic fatigue fibromyalgia especially noticeable working able function better work longer like old self,weight loss decreased appetite take late day may affect ability sleep,take 1 pill morning treat add like symptoms started car accident took several years get chronic fatigue fibromyalgia diagnosis quite awhile medicine prescribed tried standard add medications help brain fog bad side effects worked awhile stopped effect many doctors comfortable perscribing medication add add like symptoms since weight loss medicine usually take medication work week give body break teh weekends,chronic fatigue syndrome Highly Effective,3.0
3632,retin-a,7,Moderately Effective,Mild Side Effects,adult acne,It was fairly successful for the acne.  I found it especially good at spot treatment if I felt a cystic type coming up.,0.0,0.0,fairly successful acne found especially good spot treatment felt cystic type coming,dry skin peeling places like sides nose careful getting around lips would quickly get fever blister mouth know happened bothersome,applied cleansing skin night made sure skin completely dry put used small amount sometimes hard spread around,adult acne Moderately Effective,2.0
